date,indicator,value,unit,source,source_url,updated_at,frequency,confidence,note
2026-04-01,comex_inventory,177116.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-02,comex_inventory,178284.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-03,comex_inventory,176558.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-04,comex_inventory,173388.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-05,comex_inventory,175875.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-06,comex_inventory,175946.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-07,comex_inventory,174318.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-08,comex_inventory,176567.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-09,comex_inventory,176056.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-10,comex_inventory,176391.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-11,comex_inventory,174115.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-12,comex_inventory,175750.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-13,comex_inventory,177855.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-14,comex_inventory,178657.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-15,comex_inventory,180439.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-16,comex_inventory,179911.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-17,comex_inventory,175223.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-18,comex_inventory,180360.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-19,comex_inventory,181161.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-20,comex_inventory,178227.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-21,comex_inventory,180622.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-22,comex_inventory,180218.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
2026-04-23,comex_inventory,180236.0,ton,金属库存监控,,2026-06-29T17:29:54,daily,B,from metal_inventory_monitor.csv
